Model,Dataset,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,METEOR
T5-BBC,BBCNews,0.42038216560509556,0.1923076923076923,0.22929936305732482,0.07415331823694736,0.2450587659411605
T5-BBC,BBCNews,0.3975903614457831,0.21951219512195122,0.2891566265060241,0.13326937093657734,0.28737854068403823
T5-BBC,BBCNews,0.32432432432432434,0.07854984894259819,0.14414414414414414,0.017829370825471827,0.14820389717396032
T5-BBC,BBCNews,0.41333333333333333,0.1610738255033557,0.29333333333333333,0.054930454017141174,0.22294130023143283
T5-BBC,BBCNews,0.45,0.24242424242424243,0.37000000000000005,0.161837738733148,0.31996466213553987
T5-BBC,BBCNews,0.33980582524271846,0.1372549019607843,0.24271844660194175,0.09870583393368132,0.24092970166402095
T5-BBC,BBCNews,0.3711340206185567,0.20069204152249137,0.23367697594501716,0.07590532728995292,0.2450666093325373
T5-BBC,BBCNews,0.41951219512195115,0.18719211822660098,0.2829268292682927,0.1744320735625186,0.35912451630735215
T5-BBC,BBCNews,0.5897435897435898,0.29310344827586204,0.4700854700854701,0.13743937241465268,0.40427113359076156
T5-BBC,BBCNews,0.5575757575757576,0.34355828220858897,0.43636363636363634,0.2598351077715699,0.4729718220217593
T5-BBC,BBCNews,0.3360655737704918,0.10743801652892562,0.24590163934426235,0.0,0.16014764644668517
T5-BBC,BBCNews,0.46478873239436624,0.2695035460992908,0.2605633802816901,0.13727209620415415,0.2659357281780588
T5-BBC,BBCNews,0.32817337461300305,0.14953271028037382,0.17337461300309598,0.05150124768704801,0.18346810751781198
T5-BBC,BBCNews,0.4727272727272728,0.25609756097560976,0.3515151515151515,0.11094653803446657,0.2976825358257018
T5-BBC,BBCNews,0.44274809160305345,0.2635658914728682,0.33587786259541985,0.23548183751887156,0.39941035562926114
T5-BBC,BBCNews,0.4137931034482759,0.19767441860465118,0.22988505747126436,0.15297139746741242,0.3849525200876552
T5-BBC,BBCNews,0.47126436781609193,0.2558139534883721,0.3103448275862069,0.19949510008028412,0.4564024858063527
T5-BBC,BBCNews,0.2993197278911565,0.12413793103448277,0.2040816326530612,0.06509753709351504,0.3047471963078359
T5-BBC,BBCNews,0.5348837209302327,0.2941176470588235,0.3837209302325581,0.1874500326555351,0.5076408200219881
T5-BBC,BBCNews,0.41975308641975306,0.1625,0.345679012345679,0.12333604176821181,0.4069663323782235
T5-BBC,BBCNews,0.4094488188976378,0.18253968253968253,0.23622047244094485,0.06435532436918535,0.2202384124595238
T5-BBC,BBCNews,0.5930232558139534,0.3882352941176471,0.5232558139534883,0.28734098354753584,0.5343113676447011
T5-BBC,BBCNews,0.5227272727272727,0.3448275862068966,0.42045454545454547,0.27065129239910407,0.3997472057219927
T5-BBC,BBCNews,0.5345622119815668,0.21395348837209302,0.3410138248847926,0.16721104732656114,0.3984835451978005
T5-BBC,BBCNews,0.4607329842931937,0.2645502645502646,0.39790575916230364,0.2510700349933701,0.4231020376521381
T5-BBC,BBCNews,0.5681818181818182,0.3563218390804598,0.39772727272727276,0.2826518396966807,0.5904400000000001
T5-BBC,BBCNews,0.2654028436018957,0.09569377990430622,0.22748815165876776,0.05043918131584589,0.13992467884309084
T5-BBC,BBCNews,0.2153846153846154,0.03875968992248062,0.13076923076923078,0.0265289852513623,0.11329583715947353
T5-BBC,BBCNews,0.3716814159292035,0.1607142857142857,0.2920353982300885,0.07771834899131708,0.21426974974464902
T5-BBC,BBCNews,0.45454545454545453,0.1971830985915493,0.28671328671328666,0.1361804204284566,0.2779800661015999
BART-BBC,BBCNews,0.36627906976744184,0.18713450292397663,0.21511627906976744,0.11079487895487279,0.22629344899958473
BART-BBC,BBCNews,0.6530612244897959,0.4948453608247423,0.5306122448979592,0.42935699521232035,0.6065388208801477
BART-BBC,BBCNews,0.43454038997214484,0.17927170868347336,0.20612813370473537,0.06843475480481548,0.24086044646909843
BART-BBC,BBCNews,0.5092024539877301,0.36419753086419754,0.3742331288343559,0.22148606573932564,0.34592229615714465
BART-BBC,BBCNews,0.5155555555555557,0.2152466367713004,0.28444444444444444,0.16766440896195248,0.36980822973884553
BART-BBC,BBCNews,0.48847926267281105,0.18604651162790703,0.22119815668202766,0.11546528792556161,0.3396823230100472
BART-BBC,BBCNews,0.40404040404040403,0.20338983050847456,0.24915824915824913,0.09222097806226903,0.24027242182098557
BART-BBC,BBCNews,0.49327354260089684,0.2895927601809955,0.33183856502242154,0.22075325194069512,0.4543608124253285
BART-BBC,BBCNews,0.5176470588235293,0.22134387351778656,0.3058823529411765,0.11566452963954935,0.35846478256460435
BART-BBC,BBCNews,0.6813186813186813,0.3555555555555555,0.5494505494505495,0.3159602242635253,0.5982208808228425
BART-BBC,BBCNews,0.6438356164383562,0.31034482758620685,0.3150684931506849,0.19451210958311135,0.45325058965881204
BART-BBC,BBCNews,0.5333333333333334,0.3194888178913738,0.3619047619047619,0.1826172345367426,0.36189352141222914
BART-BBC,BBCNews,0.4078212290502794,0.1741573033707865,0.20670391061452514,0.10739914090829693,0.26248187259399886
BART-BBC,BBCNews,0.5802816901408451,0.3796033994334278,0.45633802816901403,0.2186752312735573,0.3941388217378407
BART-BBC,BBCNews,0.5396825396825398,0.2903225806451613,0.34920634920634924,0.26262970610931996,0.5022387550337861
BART-BBC,BBCNews,0.41739130434782606,0.21238938053097345,0.24347826086956523,0.0583408452010523,0.2790276465637949
BART-BBC,BBCNews,0.5314685314685315,0.3120567375886525,0.4055944055944057,0.24851766624910024,0.3807923319506911
BART-BBC,BBCNews,0.7172413793103448,0.5174825174825175,0.3724137931034483,0.3927885588765688,0.680856141867733
BART-BBC,BBCNews,0.56,0.30057803468208094,0.2857142857142857,0.13007316163342425,0.4270772668808575
BART-BBC,BBCNews,0.563758389261745,0.23129251700680273,0.42953020134228187,0.17077058518804336,0.4513595644567775
BART-BBC,BBCNews,0.530909090909091,0.27106227106227104,0.2327272727272727,0.1356216782984805,0.33225787361354037
BART-BBC,BBCNews,0.5759162303664922,0.3492063492063492,0.481675392670157,0.30394131642392375,0.5413002297299184
BART-BBC,BBCNews,0.5607476635514019,0.3584905660377358,0.4579439252336448,0.3127240142175384,0.4789166237145031
BART-BBC,BBCNews,0.49606299212598426,0.20634920634920634,0.31496062992125984,0.2083547394216989,0.4272825668434309
BART-BBC,BBCNews,0.6666666666666667,0.3225806451612903,0.39269406392694073,0.23742105722925716,0.6150266712064465
BART-BBC,BBCNews,0.7252747252747251,0.4888888888888888,0.4175824175824176,0.3809110946460072,0.7577993446761775
BART-BBC,BBCNews,0.46445497630331756,0.19138755980861244,0.3127962085308057,0.07294785786177876,0.2759832870223588
BART-BBC,BBCNews,0.5474452554744526,0.22794117647058826,0.2262773722627737,0.18396969020463255,0.3745174770632876
BART-BBC,BBCNews,0.5321888412017167,0.329004329004329,0.4377682403433476,0.16372206035540837,0.3253698743901172
BART-BBC,BBCNews,0.44444444444444453,0.1888111888111888,0.19444444444444445,0.13199430174973126,0.29453382758889546
Pegasus-BBC,BBCNews,0.35593220338983056,0.11931818181818185,0.19209039548022597,0.0759038940700486,0.20536852917805298
Pegasus-BBC,BBCNews,0.4147465437788019,0.20465116279069767,0.34101382488479265,0.15836140252828843,0.42414397040545965
Pegasus-BBC,BBCNews,0.3197831978319783,0.11444141689373297,0.15176151761517614,0.04733472487880663,0.1970785270354875
Pegasus-BBC,BBCNews,0.5059523809523808,0.2874251497005988,0.37499999999999994,0.1757599588605676,0.3572399660118958
Pegasus-BBC,BBCNews,0.5387755102040815,0.29629629629629634,0.31020408163265306,0.2360059196415107,0.4915320640333428
Pegasus-BBC,BBCNews,0.4701195219123505,0.20883534136546186,0.3107569721115538,0.15894586104708,0.3697631735136251
Pegasus-BBC,BBCNews,0.4169184290030212,0.2066869300911854,0.3323262839879154,0.1514308334952118,0.2735746533875474
Pegasus-BBC,BBCNews,0.27419354838709675,0.13008130081300814,0.25806451612903225,0.10911138271142125,0.25372770591838656
Pegasus-BBC,BBCNews,0.6015037593984962,0.24242424242424246,0.3157894736842105,0.18562619557045873,0.3807209575840028
Pegasus-BBC,BBCNews,0.37320574162679426,0.1642512077294686,0.2679425837320575,0.1508549423399425,0.3350641740590554
Pegasus-BBC,BBCNews,0.5320512820512819,0.27741935483870966,0.3269230769230769,0.21408258498720334,0.37849171671335424
Pegasus-BBC,BBCNews,0.3414634146341463,0.1349693251533742,0.18292682926829268,0.08287531857726306,0.18549107142857146
Pegasus-BBC,BBCNews,0.5054945054945055,0.24861878453038672,0.25274725274725274,0.159750763859902,0.30512316334733536
Pegasus-BBC,BBCNews,0.3215258855585831,0.10410958904109589,0.22343324250681199,0.049141167526442646,0.19487419822023658
Pegasus-BBC,BBCNews,0.4855491329479769,0.2690058479532164,0.3468208092485549,0.20362187046085495,0.4710612482758332
Pegasus-BBC,BBCNews,0.41237113402061853,0.17708333333333331,0.28865979381443296,0.09519306455604339,0.36768730097630964
Pegasus-BBC,BBCNews,0.580952380952381,0.34615384615384615,0.3904761904761905,0.21976128745557263,0.6203706747045256
Pegasus-BBC,BBCNews,0.5869565217391305,0.4065934065934066,0.3695652173913043,0.2694329385645346,0.7093444018731375
Pegasus-BBC,BBCNews,0.5073170731707316,0.24630541871921183,0.2536585365853658,0.0734463121814215,0.44750286574586084
Pegasus-BBC,BBCNews,0.17801047120418848,0.031746031746031744,0.13612565445026176,0.0,0.1677481548655538
Pegasus-BBC,BBCNews,0.3892617449664429,0.0945945945945946,0.18120805369127518,0.05234071237963165,0.1865551003999188
Pegasus-BBC,BBCNews,0.5258620689655172,0.3304347826086957,0.49137931034482757,0.24275104671344308,0.5835979217780343
Pegasus-BBC,BBCNews,0.6037735849056604,0.34285714285714286,0.46226415094339623,0.27216328663835226,0.5170536787760202
Pegasus-BBC,BBCNews,0.4351145038167939,0.12307692307692307,0.29007633587786263,0.12422095593877952,0.358848828020966
Pegasus-BBC,BBCNews,0.4351851851851852,0.21495327102803738,0.32407407407407407,0.16505912409339824,0.3483758123969347
Pegasus-BBC,BBCNews,0.4975609756097561,0.27586206896551724,0.40975609756097564,0.18778850244242792,0.5621621180584037
Pegasus-BBC,BBCNews,0.5639097744360902,0.2424242424242424,0.27819548872180455,0.1586534791355239,0.3757998247913162
Pegasus-BBC,BBCNews,0.529616724738676,0.2456140350877193,0.34146341463414637,0.20352713987145818,0.406887698893033
Pegasus-BBC,BBCNews,0.5480427046263346,0.27956989247311825,0.4128113879003559,0.23416471968997607,0.4343090714882694
Pegasus-BBC,BBCNews,0.567741935483871,0.25974025974025977,0.2193548387096774,0.20020691748849723,0.3740886766480295
T5-CNN,CNN/DailyMail,0.2830188679245283,0.1346153846153846,0.18867924528301885,0.0461467118635795,0.5211784338265969
T5-CNN,CNN/DailyMail,0.2772277227722772,0.0404040404040404,0.1782178217821782,0.0,0.20451677472694837
T5-CNN,CNN/DailyMail,0.3486238532110092,0.13084112149532712,0.27522935779816515,0.0,0.4323630136986302
T5-CNN,CNN/DailyMail,0.3076923076923077,0.078125,0.1692307692307692,0.0,0.2582675970873786
T5-CNN,CNN/DailyMail,0.34234234234234234,0.09174311926605505,0.19819819819819823,0.0,0.3594817767653759
T5-CNN,CNN/DailyMail,0.2272727272727273,0.06976744186046513,0.1590909090909091,0.0,0.24625353743246717
T5-CNN,CNN/DailyMail,0.4536082474226804,0.2105263157894737,0.32989690721649484,0.16883931426309903,0.4318433929005591
T5-CNN,CNN/DailyMail,0.06382978723404256,0.0,0.0425531914893617,0.0,0.05128205128205128
T5-CNN,CNN/DailyMail,0.46875,0.23809523809523808,0.359375,0.10145647078905519,0.5783980408339016
T5-CNN,CNN/DailyMail,0.512396694214876,0.25210084033613445,0.2975206611570248,0.17395797375642233,0.4538837810926004
T5-CNN,CNN/DailyMail,0.5,0.25396825396825395,0.3125,0.15187896395936012,0.447989071116728
T5-CNN,CNN/DailyMail,0.2653061224489796,0.041666666666666664,0.2040816326530612,0.0,0.271913385115607
T5-CNN,CNN/DailyMail,0.367816091954023,0.1411764705882353,0.3448275862068966,0.0,0.41105492714723924
T5-CNN,CNN/DailyMail,0.2268041237113402,0.04210526315789474,0.1443298969072165,0.0,0.18774738478936953
T5-CNN,CNN/DailyMail,0.449438202247191,0.2298850574712644,0.29213483146067415,0.12740800388556578,0.4654056744649079
T5-CNN,CNN/DailyMail,0.3724137931034483,0.0979020979020979,0.15172413793103448,0.0,0.34526633492955106
T5-CNN,CNN/DailyMail,0.4096385542168675,0.19753086419753085,0.3373493975903614,0.15207890408810282,0.4035347820998009
T5-CNN,CNN/DailyMail,0.34782608695652173,0.14925373134328357,0.26086956521739135,0.0,0.29613774733637743
T5-CNN,CNN/DailyMail,0.29333333333333333,0.13698630136986303,0.24,0.07279898126284079,0.31213826150160173
T5-CNN,CNN/DailyMail,0.1875,0.015873015873015876,0.125,0.0,0.14285714285714285
T5-CNN,CNN/DailyMail,0.4094488188976378,0.22399999999999998,0.3622047244094488,0.19272196195828403,0.43435800080318354
T5-CNN,CNN/DailyMail,0.3870967741935484,0.13186813186813187,0.27956989247311825,0.09327301870623858,0.28908611293045955
T5-CNN,CNN/DailyMail,0.2903225806451613,0.09836065573770492,0.16129032258064516,0.06018687000243035,0.19292981252857797
T5-CNN,CNN/DailyMail,0.15384615384615383,0.0784313725490196,0.11538461538461539,0.0,0.1996900826446281
T5-CNN,CNN/DailyMail,0.3833333333333333,0.1864406779661017,0.2666666666666667,0.11177924493650551,0.27996600115740733
T5-CNN,CNN/DailyMail,0.16666666666666666,0.0851063829787234,0.16666666666666666,0.04526207724967627,0.1658950617283951
T5-CNN,CNN/DailyMail,0.19548872180451127,0.04580152671755725,0.12030075187969926,0.0,0.15009380863039398
T5-CNN,CNN/DailyMail,0.3833333333333333,0.15254237288135591,0.25,0.0,0.3635237350026082
T5-CNN,CNN/DailyMail,0.2772277227722772,0.0808080808080808,0.1386138613861386,0.0,0.2781231442992874
