Model,Dataset,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,METEOR
T5-CNN,CNN/DailyMail,0.2654867256637168,0.07207207207207207,0.17699115044247787,0.0,0.35026544780573615
BART-CNN,CNN/DailyMail,0.21874999999999997,0.0967741935483871,0.18749999999999997,0.0,0.3452083333333333
BART-CNN,CNN/DailyMail,0.46153846153846156,0.15789473684210525,0.2820512820512821,0.08120857143734304,0.34079475299057177
BART-CNN,CNN/DailyMail,0.36111111111111116,0.1142857142857143,0.22222222222222224,0.0,0.3490542558486809
BART-CNN,CNN/DailyMail,0.43396226415094336,0.13461538461538464,0.20754716981132076,0.0,0.36571043771043776
BART-CNN,CNN/DailyMail,0.5,0.20512820512820512,0.275,0.0,0.3647058823529412
BART-CNN,CNN/DailyMail,0.32,0.0821917808219178,0.18666666666666665,0.0,0.22218518209850815
BART-CNN,CNN/DailyMail,0.42857142857142855,0.14634146341463414,0.19047619047619047,0.0,0.2630408185963742
BART-CNN,CNN/DailyMail,0.20289855072463767,0.059701492537313425,0.14492753623188406,0.0,0.15683533687447582
BART-CNN,CNN/DailyMail,0.5185185185185186,0.27848101265822783,0.4691358024691358,0.13619859197371803,0.45959926273856955
BART-CNN,CNN/DailyMail,0.4761904761904762,0.21951219512195122,0.30952380952380953,0.07197469847714015,0.3602497980488411
BART-CNN,CNN/DailyMail,0.48484848484848486,0.16494845360824742,0.24242424242424243,0.08749858816127955,0.3677184466019418
BART-CNN,CNN/DailyMail,0.345679012345679,0.07594936708860761,0.22222222222222224,0.0,0.25517957943055636
BART-CNN,CNN/DailyMail,0.2857142857142857,0.08,0.2597402597402597,0.0,0.2519748676903824
BART-CNN,CNN/DailyMail,0.16666666666666666,0.04878048780487805,0.14285714285714288,0.0,0.18112410656270303
BART-CNN,CNN/DailyMail,0.35135135135135137,0.19444444444444445,0.24324324324324323,0.17425278978576367,0.37076271186440685
BART-CNN,CNN/DailyMail,0.29310344827586204,0.0,0.15517241379310345,0.0,0.18917632450331132
BART-CNN,CNN/DailyMail,0.37681159420289856,0.14925373134328357,0.2608695652173913,0.0,0.2907183228647678
BART-CNN,CNN/DailyMail,0.3188405797101449,0.08955223880597014,0.20289855072463767,0.0,0.2594178082191781
BART-CNN,CNN/DailyMail,0.4571428571428572,0.23529411764705882,0.37142857142857144,0.12047431823957218,0.5056257017805172
BART-CNN,CNN/DailyMail,0.23913043478260868,0.022222222222222227,0.13043478260869565,0.0,0.1505262206965084
BART-CNN,CNN/DailyMail,0.5684210526315789,0.25806451612903225,0.4421052631578948,0.20597780252629827,0.4235294117647058
BART-CNN,CNN/DailyMail,0.3829787234042554,0.08695652173913045,0.2553191489361702,0.0,0.31007542780395964
BART-CNN,CNN/DailyMail,0.44247787610619466,0.16216216216216214,0.2831858407079646,0.10949085663734232,0.3516068052930057
BART-CNN,CNN/DailyMail,0.14893617021276595,0.0,0.0851063829787234,0.0,0.10256410256410256
BART-CNN,CNN/DailyMail,0.627906976744186,0.4285714285714286,0.6046511627906976,0.337624278642376,0.5423917523236573
BART-CNN,CNN/DailyMail,0.3013698630136986,0.14084507042253522,0.24657534246575344,0.10794573109024275,0.27003943831796823
BART-CNN,CNN/DailyMail,0.3191489361702128,0.08695652173913043,0.1914893617021277,0.0,0.2572874493927126
BART-CNN,CNN/DailyMail,0.2549019607843137,0.05999999999999999,0.1568627450980392,0.0,0.14545454545454542
BART-CNN,CNN/DailyMail,0.2926829268292683,0.075,0.24390243902439024,0.0,0.27761194029850744
BART-CNN,CNN/DailyMail,0.2891566265060241,0.07407407407407407,0.19277108433734938,0.0,0.27662314375601094
Pegasus-CNN,CNN/DailyMail,0.17857142857142855,0.05454545454545454,0.10714285714285715,0.0,0.2583333333333333
Pegasus-CNN,CNN/DailyMail,0.4615384615384615,0.19607843137254902,0.2884615384615385,0.11718227243914524,0.3726949152542373
Pegasus-CNN,CNN/DailyMail,0.4285714285714286,0.1951219512195122,0.35714285714285715,0.09703328174669225,0.4693254032915104
Pegasus-CNN,CNN/DailyMail,0.2830188679245283,0.07692307692307691,0.16981132075471697,0.0,0.18789393356867404
Pegasus-CNN,CNN/DailyMail,0.4067796610169491,0.10344827586206896,0.20338983050847456,0.0,0.39442152466367714
Pegasus-CNN,CNN/DailyMail,0.20754716981132074,0.038461538461538464,0.18867924528301885,0.0,0.15544041450777205
Pegasus-CNN,CNN/DailyMail,0.38554216867469876,0.1728395061728395,0.21686746987951808,0.09760998315166054,0.3008322755326001
Pegasus-CNN,CNN/DailyMail,0.48101265822784806,0.18181818181818182,0.3037974683544304,0.13128384462456355,0.40531855955678675
Pegasus-CNN,CNN/DailyMail,0.4791666666666667,0.2127659574468085,0.3333333333333333,0.09764533177773697,0.40720370370370385
Pegasus-CNN,CNN/DailyMail,0.47619047619047616,0.1935483870967742,0.2857142857142857,0.11309487206811891,0.4598941441712983
Pegasus-CNN,CNN/DailyMail,0.5132743362831858,0.19819819819819817,0.26548672566371684,0.10046675982162832,0.4663443286274341
Pegasus-CNN,CNN/DailyMail,0.4146341463414634,0.17500000000000002,0.2682926829268293,0.1242188995129533,0.43410559892554346
Pegasus-CNN,CNN/DailyMail,0.29629629629629634,0.10126582278481013,0.271604938271605,0.0,0.2949766355140187
Pegasus-CNN,CNN/DailyMail,0.22727272727272727,0.07692307692307693,0.18181818181818182,0.0,0.2486127336448598
Pegasus-CNN,CNN/DailyMail,0.45714285714285724,0.27184466019417475,0.38095238095238093,0.13381565724288721,0.506825974025974
Pegasus-CNN,CNN/DailyMail,0.3478260869565217,0.017699115044247787,0.15652173913043477,0.0,0.261611076766071
Pegasus-CNN,CNN/DailyMail,0.393939393939394,0.15625,0.27272727272727276,0.0,0.31374532061345256
Pegasus-CNN,CNN/DailyMail,0.3902439024390244,0.19999999999999998,0.31707317073170727,0.0,0.4263012394500284
Pegasus-CNN,CNN/DailyMail,0.3296703296703297,0.1348314606741573,0.26373626373626374,0.06701310551036416,0.4148727747678019
Pegasus-CNN,CNN/DailyMail,0.36800000000000005,0.13008130081300812,0.24,0.0891350175760428,0.3536237880276713
Pegasus-CNN,CNN/DailyMail,0.25842696629213485,0.14772727272727273,0.23595505617977527,0.1015248354889273,0.33515482695810567
Pegasus-CNN,CNN/DailyMail,0.5420560747663552,0.1904761904761905,0.3177570093457944,0.12335570134267096,0.5012103620132538
Pegasus-CNN,CNN/DailyMail,0.2857142857142857,0.06451612903225806,0.19047619047619047,0.0,0.2250053663971542
Pegasus-CNN,CNN/DailyMail,0.19999999999999998,0.04545454545454546,0.15555555555555553,0.0,0.19274611398963734
Pegasus-CNN,CNN/DailyMail,0.5,0.2549019607843137,0.3269230769230769,0.17156668539327813,0.43281983268720664
Pegasus-CNN,CNN/DailyMail,0.12244897959183675,0.06896551724137931,0.108843537414966,0.035716274456565784,0.198203555974817
Pegasus-CNN,CNN/DailyMail,0.2830188679245283,0.09615384615384616,0.2264150943396226,0.0845275034189224,0.26337687363822504
Pegasus-CNN,CNN/DailyMail,0.31999999999999995,0.11560693641618497,0.2285714285714286,0.05855227847544702,0.37589034911717495
Pegasus-CNN,CNN/DailyMail,0.3357664233576642,0.14814814814814814,0.21897810218978103,0.06098188625039199,0.43184339290055923
Pegasus-CNN,CNN/DailyMail,0.2521008403361345,0.06837606837606837,0.13445378151260504,0.0,0.3164160401002506
GPT-3.5-turbo,BBCNews,0.31210191082802546,0.10256410256410257,0.17834394904458598,0.0,0.12286042939647321
GPT-3.5-turbo,BBCNews,0.42990654205607476,0.20754716981132076,0.28037383177570097,0.0,0.3456031434184676
GPT-3.5-turbo,BBCNews,0.3045977011494253,0.09248554913294799,0.14367816091954022,0.011172081014177689,0.13572225754043937
GPT-3.5-turbo,BBCNews,0.42138364779874216,0.1329113924050633,0.22012578616352205,0.028891734647171218,0.22662216821410305
GPT-3.5-turbo,BBCNews,0.40579710144927533,0.1073170731707317,0.1932367149758454,0.0,0.2730194296772269
GPT-3.5-turbo,BBCNews,0.4210526315789474,0.16814159292035397,0.2280701754385965,0.06891125035792545,0.3358334487740199
GPT-3.5-turbo,BBCNews,0.3719512195121952,0.0920245398773006,0.1768292682926829,0.02139258678936343,0.21100171901859663
GPT-3.5-turbo,BBCNews,0.3932584269662921,0.125,0.21348314606741575,0.04525634511049068,0.2960539361491176
GPT-3.5-turbo,BBCNews,0.3788546255506608,0.11555555555555555,0.2466960352422908,0.036658474804461896,0.276272753999559
GPT-3.5-turbo,BBCNews,0.3773584905660377,0.19108280254777069,0.31446540880503143,0.05577227364466944,0.28994984864052026
GPT-3.5-turbo,BBCNews,0.4344827586206897,0.1875,0.23448275862068962,0.0,0.27833217759907236
GPT-3.5-turbo,BBCNews,0.3277591973244147,0.10101010101010101,0.1939799331103679,0.025349484041463345,0.18627757679117746
GPT-3.5-turbo,BBCNews,0.3855421686746988,0.1393939393939394,0.20481927710843376,0.04974571641552738,0.21065699384411576
GPT-3.5-turbo,BBCNews,0.3048780487804878,0.10429447852760736,0.18292682926829268,0.01911489224017812,0.1767118006001055
GPT-3.5-turbo,BBCNews,0.47058823529411764,0.23931623931623933,0.3529411764705882,0.06262411456218506,0.4302282080059858
GPT-3.5-turbo,BBCNews,0.4146341463414634,0.16049382716049382,0.18292682926829268,0.04730085471993033,0.37238674581500025
GPT-3.5-turbo,BBCNews,0.3975903614457831,0.14634146341463414,0.22891566265060243,0.0,0.29270707633280735
GPT-3.5-turbo,BBCNews,0.43478260869565216,0.16176470588235295,0.24637681159420294,0.0,0.3873342202963789
GPT-3.5-turbo,BBCNews,0.4342857142857143,0.16184971098265893,0.2285714285714286,0.0,0.3332777731477623
GPT-3.5-turbo,BBCNews,0.29007633587786263,0.046511627906976744,0.16793893129770993,0.0,0.20470249165547905
GPT-3.5-turbo,BBCNews,0.4640522875816993,0.1907894736842105,0.2418300653594771,0.0,0.2774055404806074
GPT-3.5-turbo,BBCNews,0.5303867403314917,0.25698324022346364,0.4088397790055249,0.0,0.37348619957537155
GPT-3.5-turbo,BBCNews,0.5586592178770949,0.384180790960452,0.4245810055865922,0.15641742165382716,0.39600214687826263
GPT-3.5-turbo,BBCNews,0.27,0.020202020202020204,0.10999999999999999,0.0,0.16659459862147594
GPT-3.5-turbo,BBCNews,0.3850267379679144,0.19459459459459455,0.25668449197860965,0.11018532263165787,0.28838079986149584
GPT-3.5-turbo,BBCNews,0.4530386740331492,0.18994413407821228,0.2430939226519337,0.04907834503810632,0.4100115015828911
GPT-3.5-turbo,BBCNews,0.42148760330578516,0.08333333333333334,0.1983471074380165,0.0,0.23596634368069083
GPT-3.5-turbo,BBCNews,0.5,0.16058394160583941,0.2246376811594203,0.0656166950034172,0.302775797424657
GPT-3.5-turbo,BBCNews,0.3679245283018868,0.1523809523809524,0.2169811320754717,0.0,0.18743240267994746
GPT-3.5-turbo,BBCNews,0.4857142857142857,0.23741007194244607,0.2714285714285714,0.1515299196742604,0.2739613984600999
GPT-3.5-turbo,CNN/DailyMail,0.14965986394557823,0.041379310344827586,0.09523809523809525,0.0,0.2826492537313433
GPT-3.5-turbo,CNN/DailyMail,0.32812499999999994,0.07936507936507936,0.203125,0.0,0.3063207009331773
GPT-3.5-turbo,CNN/DailyMail,0.28776978417266186,0.04379562043795621,0.1726618705035971,0.0,0.36436899862825795
GPT-3.5-turbo,CNN/DailyMail,0.2631578947368421,0.04,0.15789473684210528,0.0,0.22702991452991456
GPT-3.5-turbo,CNN/DailyMail,0.3649635036496351,0.11851851851851852,0.20437956204379565,0.0,0.3126471280602637
GPT-3.5-turbo,CNN/DailyMail,0.15652173913043477,0.035398230088495575,0.10434782608695652,0.0,0.18446180555555555
GPT-3.5-turbo,CNN/DailyMail,0.30508474576271183,0.06896551724137931,0.15254237288135591,0.0,0.21436645836508664
GPT-3.5-turbo,CNN/DailyMail,0.3165467625899281,0.14598540145985403,0.21582733812949642,0.06210459840320734,0.3598019507110416
GPT-3.5-turbo,CNN/DailyMail,0.39669421487603307,0.13445378151260504,0.3140495867768595,0.0,0.42633863621517953
GPT-3.5-turbo,CNN/DailyMail,0.34666666666666673,0.10810810810810811,0.22666666666666666,0.0,0.3186656722489661
GPT-3.5-turbo,CNN/DailyMail,0.3680981595092025,0.07453416149068323,0.2331288343558282,0.0,0.3119355015981011
GPT-3.5-turbo,CNN/DailyMail,0.32075471698113206,0.07692307692307693,0.2075471698113208,0.0,0.34225126133266326
GPT-3.5-turbo,CNN/DailyMail,0.1791044776119403,0.06060606060606061,0.11940298507462686,0.0,0.23847710993459986
GPT-3.5-turbo,CNN/DailyMail,0.24691358024691357,0.0625,0.20987654320987656,0.0,0.3061224489795919
GPT-3.5-turbo,CNN/DailyMail,0.28368794326241137,0.14388489208633093,0.22695035460992904,0.03916750723592312,0.30609620391366427
GPT-3.5-turbo,CNN/DailyMail,0.2736842105263158,0.05319148936170213,0.10526315789473684,0.0,0.26997115569769264
GPT-3.5-turbo,CNN/DailyMail,0.2255639097744361,0.061068702290076333,0.13533834586466167,0.0,0.32425473980764435
GPT-3.5-turbo,CNN/DailyMail,0.3466666666666666,0.16216216216216214,0.2266666666666667,0.03605870196893114,0.4815466614522691
GPT-3.5-turbo,CNN/DailyMail,0.21538461538461542,0.10937500000000001,0.18461538461538457,0.0,0.27198327359617686
GPT-3.5-turbo,CNN/DailyMail,0.28901734104046245,0.07017543859649124,0.16184971098265896,0.0,0.3026188430226581
GPT-3.5-turbo,CNN/DailyMail,0.3105590062111801,0.12578616352201255,0.2111801242236025,0.0,0.3452028711271585
GPT-3.5-turbo,CNN/DailyMail,0.33333333333333337,0.125,0.2345679012345679,0.0,0.2762500982532475
GPT-3.5-turbo,CNN/DailyMail,0.24444444444444444,0.0898876404494382,0.15555555555555556,0.0,0.2725579741338973
GPT-3.5-turbo,CNN/DailyMail,0.3312883435582822,0.13664596273291926,0.23312883435582818,0.0501565657489674,0.44309330790017487
GPT-3.5-turbo,CNN/DailyMail,0.2695035460992908,0.10071942446043165,0.18439716312056736,0.0,0.2395931406429422
GPT-3.5-turbo,CNN/DailyMail,0.13333333333333333,0.03680981595092025,0.1212121212121212,0.0,0.18532722287204467
GPT-3.5-turbo,CNN/DailyMail,0.29530201342281875,0.04081632653061225,0.14765100671140938,0.0,0.2502836624775584
GPT-3.5-turbo,CNN/DailyMail,0.3050847457627119,0.07999999999999999,0.15819209039548024,0.0,0.30591506243496364
GPT-3.5-turbo,CNN/DailyMail,0.24,0.08108108108108109,0.1733333333333333,0.0,0.24382071702878946
GPT-3.5-turbo,CNN/DailyMail,0.2517482517482517,0.0425531914893617,0.13986013986013987,0.0,0.3039851956108114
